,Post Date,Quest Number,Category Code,Bid/Request Name,Bid Closing Date,City,County,State,Owner,Solicitor,Posting Type
0,,,,,,,,,,,
1,12/29/2022,8363955.0,Bridge (Replacement or Rehabil...,Key No. 20678 FY23 BRIDGE REPAIR,03/07/2023 02:00 PM MST,,Shoshone,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
2,01/13/2023,8371673.0,Bridges/Overpasses,"Key No. 20121 US-2, BNSF RR UNDERPASS, SANDPOINT",03/07/2023 02:00 PM MST,,Bonner,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
3,01/20/2023,8378631.0,Seal Coating,Key No. 20566 D4 #2 Seal Coats,03/07/2023 02:00 PM MST,,Minidoka & Cassia,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
4,02/03/2023,8391220.0,Street/Road Widening,"Key No. 20695 SH-53, N LATAH ST TO MP 9.3, RATHDRU...",03/07/2023 02:00 PM MST,,Kootenai,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
5,02/07/2023,8394409.0,Pavement Resurface and Rehabil...,"Key No. 20525 US-95, MP 515.5 to JCT SH-1",03/07/2023 02:00 PM MST,,Boundary,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
6,02/08/2023,8395535.0,Highway Preservation/Maintenan...,"Key No. 20735 US-20B, YELLOWSTONE HWY and HOLMES M...",03/07/2023 02:00 PM MST,,Bonneville,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
7,02/03/2023,8391222.0,Bridge (Replacement or Rehabil...,"Key No. 23343 I-84, SOUTH JEROME IC TO TWIN FALLS ...",03/14/2023 02:00 PM MDT,,Jerome,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
8,02/14/2023,8400926.0,Pavement Preservation,"Key No. 20237 US-95, FY24 D1 SEALCOATS",03/14/2023 02:00 PM MDT,,Benewah & Kootenai,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
9,02/14/2023,8400934.0,Street/Roadway Reconstruction,"Key No. 22228 US-95, OREGON STATE LINE TO SOMMERCA...",03/14/2023 02:00 PM MDT,,Owyhee,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
10,02/22/2023,8408518.0,Street/Road Asphalt Milling,"Key No. 20688 I-15, ROSE IC TO N. LAVA ROCKS",03/14/2023 02:00 PM MDT,,Bingham,ID,Idaho Transportation...,Idaho Transportati...,Construction Project
